school,stread03,stdread02,gainreading,stmath02,stmath03,gainmath,stread02r,stread03r,stmath02r,stmath03r,engf02,enhbf02,encop02,engsp03,enhbsp03,encop03,mathfo2,mathbf02,macopf02,mathf03,mahbs03,macops03,atten02,absent02,atten03,absen03,group,hourlace,daylacer,lacerhoursr
3,60,63.5,-3.5,39,57,18,1,1,0,1,3,2,1,4,2,1,2,2,1,1,2,1,163,2,163,0,1, , , 
3,52,53.7,-1.7,43.6,64,20.4,1,1,0,1,3,2,2,3,2,2,1,1,2,1,1,2,163,1,163,2,1, , , 
3,28,33,-5,25.3,20,-5.3,0,0,0,0,3,2,2,2,2,1,1,1,2,1,1,2,163,12,163,8,1, , , 
3,71,55.3,15.7,70.1,63,-7.1,1,1,1,1,0,0,1,2,1,1,2,0,0,1,0,1,163,2,163,4,1, , , 
3,12,30.7,-18.7,43.6,50,6.4,0,0,0,1,1,0,1,2,1,1,2,1,1,1,0,1,163,19,163,27,1, , , 
3,11,15.4,-4.4,18.9,32,13.1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,163,5,163,6,1, , , 
3,64,60.4,3.6,63.5,57,-6.5,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,163,2,163,2,1, , , 
3,32,29.9,2.1,35.1,42,6.9,0,0,0,0,3,1,1,3,2,2,4,2,2,4,2,1,163,3,163,0,1, , , 
3,64,67.7,-3.7,58.7,57,-1.7,1,1,1,1,2,1,1,2,1,2,3,2,2,4,2,2,163,10,161,7,1, , , 
3,33,53.7,-20.7,47.9,36,-11.9,1,0,0,0,2,1,2,2,1,2,2,1,1,2,1,1,163,0,163,0,1, , , 
3,1,18.9,-17.9,28.2,15,-13.2,0,0,0,0,1,0,1,1,0,1,2,1,1,2,0,1,84,4,163,5,1, , , 
3,43,51.6,-8.6,30.7,48,17.3,1,0,0,1,3,1,1,2,1,0,0,0,0,0,0,0,154,19,161,30,1, , , 
3,30,15.4,14.6,32.3,35,2.7,0,0,0,0,4,2,2,4,2,1,2,1,2,2,2,2,163,3,163,9,1, , , 
3,71,57.5,13.5,57.5,74,16.5,1,1,1,1,3,1,2,3,2,2,3,1,2,3,2,2,163,0,163,0,1, , , 
3,71,39.6,31.4,35.1,46,10.9,0,1,0,1,4,2,2,3,2,2,2,1,2,2,0,2,163,4,163,5,1, , , 
3,38,50.5,-12.5,52.1,41,-11.1,1,0,1,0,3,2,2,3,2,2,3,1,1,1,0,1,163,2,163,3,1, , , 
3,60,60.4,-0.4,41.3,55,13.7,1,1,0,1,3,2,2,3,2,2,4,2,2,2,0,1,163,2,163,4,1, , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , 
3,30,28.2,1.8,35.1,34,-1.1,0,0,0,0,1,0,0,3,1,1,2,1,1,1,1,1,163,23,163,42,1, , , 
3,19,24.2,-5.2,37.7,20,-17.7,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,163,14,163,11,1, , , 
3,32,44.1,-12.1,29.1,28,-1.1,0,0,0,0,3,1,2,2,2,2,3,1,1,2,1,1,163,6,163,12,1, , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , 
3,60,99,-39,68.5,60,-8.5,1,1,1,1,4,2,2,4,2,2,3,2,2,2,2,2,163,4,163,1,1, , , 
3,40,42.5,-2.5,20.4,42,21.6,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,163,6,163,13,1, , , 
3,49,63.5,-14.5,48.4,42,-6.4,1,1,0,0,3,2,1,3,2,2,1,1,2,1,1,1,163,2,162,5,1, , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , 
3,30,37.7,-7.7,55.3,60,4.7,0,0,1,1,3,1,1,2,1,1,3,2,2,2,2,2,163,3,163,4,1, , , 
3,55,46.3,8.7,56.4,60,3.6,0,1,1,1,3,1,2,2,1,1,2,1,2,3,2,2,163,0,163,2,1, , , 
3,60,58.1,1.9,44.7,35,-9.7,1,1,0,0,2,1,2,2,1,2,2,2,2,1,2,2,163,1,163,6,1, , , 
3,69,74.7,-5.7,74.7,60,-14.7,1,1,1,1,4,2,2,4,2,2,4,2,2,4,2,2,163,11,163,5,1, , , 
3,5,27.2,-22.2,41.3,28,-13.3,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,163,3,163,18,1, , , 
3,1,40.7,-39.7,35.1,28,-7.1,0,0,0,0,2,2,1,2,2,1,0,0,1,0,0,1,163,2,163,5,1, , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , 
3,55,51.6,3.4,60.4,39,-21.4,1,1,1,0,3,2,1,3,2,2,1,0,0,2,1,1,163,0,163,2,1, , , 
3,50,55.3,-5.3,47.9,43,-4.9,1,1,0,0,3,1,1,2,1,2,2,0,1,2,0,1,163,3,163,8,1, , , 
3,60,64.9,-4.9,40.2,48,7.8,1,1,0,1,4,1,1, , , ,0,0,1,1,1,1,157,13,163,6,1, , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , 
3,33,39.6,-6.6,35.8,39,3.2,0,0,0,0,1,0,1,2,1,1,1,0,0,1,0,0,163,7,163,7,1, , , 
3,25,30.7,-5.7,32.3,39,6.7,0,0,0,0, , , , , , ,4,2,2,3,2,2,163,0,163,0,1, , , 
3,47,56.4,-9.4,51.1,54,2.9,1,1,1,1,4,2,2,3,2,2,3,2,2,3,2,2,163,2,163,5,1, , , 
3,56,56.4,-0.4,51.1,54,2.9,1,1,1,1,2,1,2,2,1,2,2,0,0,3,2,2,163,11,163,19,1, , , 
3,36,42.5,-6.5,34.4,20,-14.4,0,0,0,0,4,2,1,4,2,2,2,2,2,3,2,2,163,16,163,7,1, , , 
3,42,18.9,23.1,18.9,42,23.1,0,0,0,0,3,1,1,2,1,1,1,1,1,2,1,1,163,3,162,6,1, , , 
3,23,51.1,-28.1,39,32,-7,1,0,0,0,2,2,1,4,2,1,2,1,1,3,2,2,163,39,163,13,1, , , 
3,55,57.5,-2.5,55.3,55,-0.3,1,1,1,1,3,2,2,0,0,0,2,0,1,0,0,0,163,40,163,47,1, , , 
3,24,24.2,-0.2,20.4,21,0.6,0,0,0,0,2,0,2,2,1,2,1,0,2,0,0,2,163,0,163,1,1, , , 
3,5,1,4,20.4,2,-18.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,163,4,163,13,1, , , 
