edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
two year college,less than college,white,US citizen,US born,boy,no,yes,NA,NA,70.59,35.71,NA,no,yes,NA,west,S,English,female,86,Republica,Republican,NA,yes I am,high,women,women,men,men,no difference,women,men,women,women,men,men,NA,women,men
four year college,college,white,US citizen,US born,girl,NA,NA,85.71,67,35.29,100,no,yes,no,yes,west,R,English,male,37,Republica,Do not know,conservative,NA,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,NA,US citizen,US born,girl,no,yes,NA,NA,76.47,50,NA,yes,yes,NA,west,U,English,male,76,NA,Democrat,NA,no,NA,women,women,women,women,women,women,women,women,women,women,women,women,women,women
graduate,college,white,US citizen,US born,boy,NA,NA,NA,83,58.82,100,yes,yes,yes,NA,south,R,English,male,61,Republica,Do not know,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,NA,NA,NA,NA,47.06,NA,NA,NA,no,NA,west,U,English,female,44,Republica,Do not know,conservative,no,high,NA,women,women,no difference,no difference,women,no difference,NA,women,women,NA,NA,women,NA
graduate,college,white,US citizen,US born,either,yes,yes,NA,NA,47.06,85.71,NA,yes,no,NA,midwest,U,English,female,76,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,men,no difference,no difference,no difference,NA,NA,NA,men,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,yes,yes,NA,NA,NA,92.86,NA,yes,NA,NA,North East,S,English,female,75,NA,Republican,NA,my spouse is,NA,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
HS or less,less than college,black,US citizen,US born,boy,NA,NA,28.57,67,47.06,21.43,no,no,no,no,south,U,English,male,23,NA,Democrat,NA,my spouse is,NA,men,men,women,men,women,women,men,men,men,women,men,women,women,men
four year college,college,NA,US citizen,Not US born,boy,yes,yes,NA,83,41.18,85.71,yes,yes,no,NA,midwest,S,English,female,37,Republica,Democrat,NA,my spouse is,low,no difference,women,no difference,no difference,women,no difference,no difference,NA,women,NA,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,28.57,NA,70.59,42.86,NA,NA,yes,no,south,S,English,female,54,Republica,Do not know,conservative,yes both,high,no difference,no difference,men,men,no difference,men,men,NA,NA,men,men,NA,men,men
four year college,college,white,US citizen,Not US born,girl,no,yes,42.86,56,47.06,100,no,yes,no,no,west,U,English,female,58,Republica,Do not know,conservative,NA,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,NA,NA,NA,NA,52.94,35.71,NA,no,yes,NA,south,R,English,female,18,NA,Do not know,very conservative,yes both,high,women,no difference,men,women,men,women,men,women,NA,men,women,men,women,men
graduate,college,white,US citizen,US born,either,yes,yes,NA,NA,52.94,71.43,NA,yes,yes,NA,west,S,English,female,63,Republica,Democrat,NA,yes both,high,no difference,women,women,no difference,women,women,no difference,NA,women,women,NA,women,women,NA
four year college,college,white,US citizen,US born,either,NA,NA,NA,44,NA,42.86,no,NA,NA,NA,west,U,English,male,99,Republica,Democrat,NA,NA,high,women,women,women,men,women,no difference,men,women,women,women,men,women,NA,men
four year college,college,white,US citizen,US born,girl,NA,NA,35.71,83,29.41,28.57,yes,no,no,no,west,S,English,female,23,Republica,Democrat,NA,yes both,high,men,women,women,men,women,women,men,men,women,women,men,women,women,men
graduate,college,white,US citizen,US born,girl,NA,NA,NA,78,47.06,78.57,yes,yes,no,NA,North East,S,English,female,61,Republica,Do not know,conservative,no,NA,no difference,no difference,women,no difference,women,women,no difference,NA,NA,women,NA,women,women,NA
four year college,college,white,US citizen,US born,NA,no,yes,NA,61,35.29,NA,no,NA,no,NA,North East,S,English,female,46,Republica,Do not know,NA,yes both,NA,no difference,women,women,NA,women,women,NA,NA,women,women,NA,women,women,NA
graduate,college,white,US citizen,US born,girl,NA,NA,78.57,78,52.94,78.57,yes,yes,yes,yes,North East,R,English,female,31,Republica,Do not know,conservative,yes both,high,women,no difference,women,no difference,no difference,women,no difference,women,NA,women,NA,NA,women,NA
graduate,college,white,US citizen,US born,boy,yes,no,50,NA,76.47,64.29,NA,yes,yes,no,North East,S,English,female,65,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,men,women,no difference,men,NA,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,either,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,south,S,English,female,77,Democrat,Do not know,very conservative,NA,high,men,NA,men,men,women,no difference,men,men,NA,men,men,women,NA,men
graduate,college,white,US citizen,US born,boy,yes,no,14.29,72,76.47,0,NA,no,yes,no,south,R,English,male,40,Republica,Do not know,NA,yes both,high,men,men,men,men,men,men,men,men,men,men,men,men,men,men
graduate,college,white,US citizen,US born,boy,yes,no,NA,94,NA,50,yes,yes,NA,NA,south,U,English,male,52,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,men,women,men,men,NA,NA,NA,men,women,men,men
two year college,less than college,NA,US citizen,US born,either,yes,yes,NA,56,23.53,42.86,no,NA,no,NA,midwest,U,English,male,60,Republica,Republican,NA,my spouse is,NA,no difference,women,women,women,women,men,men,NA,women,women,women,women,men,men
two year college,less than college,white,US citizen,US born,boy,yes,no,NA,78,29.41,71.43,yes,yes,no,NA,North East,S,English,female,55,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,men,no difference,men,NA,NA,NA,NA,men,NA,men
two year college,less than college,white,US citizen,US born,boy,no,yes,NA,72,NA,57.14,NA,yes,NA,NA,west,R,English,male,60,Republica,Republican,NA,yes I am,high,no difference,no difference,women,men,women,no difference,men,NA,NA,women,men,women,NA,men
two year college,less than college,white,US citizen,US born,either,no,yes,64.29,100,29.41,100,yes,yes,no,NA,midwest,S,English,male,50,Republica,Republican,NA,yes I am,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,girl,NA,NA,28.57,50,70.59,21.43,no,no,yes,no,midwest,S,English,male,51,NA,Democrat,NA,my spouse is,NA,men,women,women,men,women,men,men,men,women,women,men,women,men,men
graduate,college,white,US citizen,US born,NA,yes,yes,NA,NA,35.29,92.86,NA,yes,no,NA,south,R,English,female,60,Republica,Do not know,NA,yes both,high,women,no difference,no difference,no difference,no difference,no difference,no difference,women,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,83,29.41,78.57,yes,yes,no,NA,west,U,English,female,60,Republica,Republican,NA,my spouse is,high,no difference,no difference,women,no difference,no difference,no difference,men,NA,NA,women,NA,NA,NA,men
two year college,less than college,white,US citizen,US born,either,no,yes,NA,94,0,100,yes,yes,no,NA,south,S,English,male,41,Republica,Republican,NA,yes I am,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,NA,NA,NA,44,35.29,92.86,no,yes,no,NA,west,S,English,male,22,NA,Do not know,very conservative,yes both,NA,women,no difference,no difference,no difference,no difference,no difference,no difference,women,NA,NA,NA,NA,NA,NA
four year college,college,black,US citizen,US born,either,yes,yes,NA,NA,35.29,71.43,NA,yes,no,NA,south,S,English,female,55,Republica,Democrat,NA,my spouse is,NA,women,no difference,no difference,no difference,no difference,women,men,women,NA,NA,NA,NA,women,men
HS or less,less than college,NA,US citizen,US born,either,yes,yes,57.14,NA,47.06,35.71,NA,no,no,no,west,S,English,male,62,NA,Do not know,NA,no,NA,women,women,women,men,women,women,men,women,women,women,men,women,women,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,67,52.94,57.14,no,yes,yes,NA,midwest,S,English,female,54,Republica,Do not know,conservative,yes both,NA,no difference,women,no difference,men,women,no difference,men,NA,women,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,71.43,61,64.71,92.86,no,yes,yes,yes,south,S,English,female,52,Democrat,Do not know,conservative,yes both,high,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
two year college,less than college,Others,US citizen,US born,girl,NA,NA,NA,NA,41.18,28.57,NA,no,no,NA,west,S,English,male,23,NA,Do not know,NA,yes both,NA,women,women,men,men,women,men,women,women,women,men,men,women,men,women
two year college,less than college,white,US citizen,US born,either,NA,NA,42.86,50,70.59,28.57,no,no,yes,no,south,U,English,female,45,Republica,Republican,NA,my spouse is,low,men,women,women,men,women,women,men,men,women,women,men,women,women,men
two year college,less than college,black,US citizen,US born,either,NA,NA,NA,100,52.94,64.29,yes,yes,yes,NA,North East,U,English,female,20,Republica,Democrat,NA,my spouse is,NA,no difference,women,women,women,no difference,no difference,men,NA,women,women,women,NA,NA,men
graduate,college,white,US citizen,US born,either,yes,no,NA,61,58.82,100,no,yes,yes,NA,midwest,R,English,male,56,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,NA,yes,yes,21.43,NA,47.06,NA,NA,NA,no,no,midwest,R,English,female,72,Republica,Do not know,NA,my spouse is,high,no difference,no difference,men,men,NA,NA,men,NA,NA,men,men,NA,NA,men
four year college,college,Others,US citizen,Not US born,girl,NA,NA,NA,83,58.82,0,yes,no,yes,NA,midwest,S,English,male,50,Republica,Democrat,NA,yes both,high,men,men,men,men,men,men,men,men,men,men,men,men,men,men
graduate,college,black,US citizen,Not US born,either,yes,yes,NA,50,47.06,78.57,no,yes,no,NA,south,S,English,male,55,Republica,Democrat,NA,yes both,high,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
graduate,college,black,US citizen,US born,girl,NA,NA,35.71,89,76.47,42.86,yes,NA,yes,no,south,S,English,female,29,Republica,Democrat,NA,my spouse is,low,no difference,no difference,men,men,no difference,men,men,NA,NA,men,men,NA,men,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,11.76,28.57,NA,no,no,NA,south,U,English,female,71,Republica,Democrat,NA,yes both,high,men,no difference,no difference,men,men,men,men,men,NA,NA,men,men,men,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,41.18,NA,NA,NA,no,NA,midwest,R,English,female,77,Republica,Republican,NA,my spouse is,high,NA,no difference,no difference,women,women,women,women,NA,NA,NA,women,women,women,women
two year college,less than college,white,US citizen,US born,either,yes,no,NA,83,0,64.29,yes,yes,no,NA,midwest,U,English,male,31,Republica,Republican,NA,no,NA,women,women,women,no difference,women,women,no difference,women,women,women,NA,women,women,NA
two year college,less than college,white,US citizen,US born,girl,yes,no,NA,28,NA,NA,no,NA,NA,NA,North East,U,English,female,71,Republica,Do not know,NA,yes both,high,NA,no difference,NA,NA,women,no difference,NA,NA,NA,NA,NA,women,NA,NA
two year college,less than college,white,US citizen,US born,either,NA,NA,50,39,NA,NA,no,NA,NA,no,south,U,English,female,24,Republica,Do not know,very conservative,NA,NA,NA,women,women,men,women,women,men,NA,women,women,men,women,women,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,71.43,67,47.06,100,no,yes,no,yes,west,U,English,male,58,Democrat,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,no,NA,NA,41.18,100,NA,yes,no,NA,south,S,English,female,67,Republica,Republican,NA,yes I am,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,NA,yes,yes,NA,NA,52.94,50,NA,yes,yes,NA,North East,S,English,female,37,Republica,Republican,NA,my spouse is,NA,women,women,women,men,no difference,no difference,men,women,women,women,men,NA,NA,men
two year college,less than college,white,US citizen,US born,NA,yes,yes,42.86,NA,64.71,42.86,NA,NA,yes,no,midwest,U,English,female,82,Republica,Do not know,conservative,yes both,high,men,no difference,women,no difference,women,men,men,men,NA,women,NA,women,men,men
four year college,college,white,US citizen,US born,boy,yes,yes,NA,NA,35.29,35.71,NA,no,no,NA,midwest,S,English,male,60,Republica,Do not know,conservative,yes both,high,women,women,women,men,women,women,men,women,women,women,men,women,women,men
HS or less,less than college,black,US citizen,US born,either,no,yes,50,NA,47.06,50,NA,yes,no,no,south,U,English,female,57,Republica,Democrat,NA,yes I am,NA,no difference,women,women,men,women,women,women,NA,women,women,men,women,women,women
graduate,college,NA,US citizen,Not US born,either,yes,no,NA,89,NA,100,yes,yes,NA,NA,midwest,S,English,male,66,Republica,NA,very conservative,yes both,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,yes,yes,21.43,72,70.59,7.14,NA,no,yes,no,south,S,English,male,31,Republica,Republican,NA,yes I am,high,women,men,men,men,men,men,men,women,men,men,men,men,men,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,NA,NA,42.86,NA,NA,NA,NA,midwest,R,English,female,74,Republica,Republican,NA,my spouse is,NA,no difference,men,men,women,women,no difference,men,NA,men,men,women,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,NA,NA,NA,56,58.82,50,no,yes,yes,NA,south,U,English,male,48,Republica,Democrat,NA,yes I am,NA,women,women,women,women,women,no difference,men,women,women,women,women,women,NA,men
two year college,less than college,white,US citizen,US born,either,yes,no,NA,83,47.06,50,yes,yes,no,NA,south,S,English,male,37,Democrat,Do not know,NA,yes both,NA,men,no difference,no difference,men,women,no difference,men,men,NA,NA,men,women,NA,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,28.57,94,52.94,85.71,yes,yes,yes,no,North East,S,English,male,60,Republica,Republican,NA,my spouse is,NA,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,35.71,NA,58.82,71.43,NA,yes,yes,no,midwest,S,English,female,50,NA,Democrat,NA,my spouse is,low,men,no difference,no difference,no difference,no difference,no difference,men,men,NA,NA,NA,NA,NA,men
HS or less,less than college,NA,US citizen,US born,either,yes,no,42.86,89,58.82,35.71,yes,no,yes,no,North East,U,English,male,61,Republica,Democrat,NA,yes I am,NA,women,women,men,men,women,no difference,men,women,women,men,men,women,NA,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,south,S,English,male,74,Republica,NA,very conservative,my spouse is,NA,NA,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,NA,NA,21.43,NA,52.94,85.71,NA,yes,yes,no,midwest,U,English,male,22,Republica,Democrat,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
graduate,college,white,US citizen,US born,either,NA,NA,NA,NA,29.41,50,NA,yes,no,NA,midwest,U,English,female,56,Republica,Democrat,NA,NA,high,women,women,women,women,women,women,women,women,women,women,women,women,women,women
four year college,college,white,US citizen,US born,either,yes,yes,57.14,56,5.88,71.43,no,yes,no,no,midwest,S,English,male,49,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,men,no difference,no difference,men,NA,NA,NA,men,NA,NA,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,94,64.71,100,yes,yes,yes,NA,south,R,English,male,49,Republica,Republican,NA,yes I am,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,72,47.06,50,NA,yes,no,NA,south,S,English,male,59,Republica,Republican,NA,my spouse is,low,no difference,women,women,women,women,women,men,NA,women,women,women,women,women,men
two year college,less than college,white,US citizen,US born,girl,yes,yes,35.71,72,47.06,0,NA,no,no,no,midwest,R,English,female,42,Republica,Republican,NA,my spouse is,high,men,men,men,men,men,men,men,men,men,men,men,men,men,men
HS or less,less than college,white,US citizen,US born,girl,yes,no,NA,61,29.41,7.14,no,no,no,NA,south,R,English,male,57,Republica,Republican,NA,my spouse is,high,men,men,men,men,women,men,men,men,men,men,men,women,men,men
two year college,less than college,NA,US citizen,US born,girl,yes,no,28.57,NA,41.18,21.43,NA,no,no,no,west,S,English,male,76,NA,5,very conservative,yes I am,high,men,no difference,men,men,women,men,men,men,NA,men,men,women,men,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,52.94,42.86,NA,NA,yes,NA,south,S,English,female,67,Republica,Republican,NA,my spouse is,high,women,women,women,men,women,women,women,women,women,women,men,women,women,women
two year college,less than college,white,US citizen,US born,boy,yes,no,28.57,NA,29.41,NA,NA,NA,no,no,midwest,R,English,male,75,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,men,women,NA,men,NA,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,21.43,NA,58.82,42.86,NA,NA,yes,no,south,U,English,female,68,NA,Do not know,very conservative,yes both,NA,men,no difference,women,men,women,no difference,men,men,NA,women,men,women,NA,men
four year college,college,white,US citizen,US born,boy,yes,no,50,NA,NA,35.71,NA,no,NA,no,south,R,English,male,67,Republica,Republican,NA,my spouse is,NA,no difference,women,women,men,women,men,men,NA,women,women,men,women,men,men
two year college,less than college,white,US citizen,US born,boy,NA,NA,85.71,61,52.94,85.71,no,yes,yes,yes,south,R,English,female,52,Republica,Do not know,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
two year college,less than college,white,US citizen,US born,NA,yes,yes,57.14,NA,52.94,28.57,NA,no,yes,no,south,S,English,female,47,Republica,Republican,NA,my spouse is,low,women,women,men,men,women,women,men,women,women,men,men,women,women,men
four year college,college,white,US citizen,US born,boy,yes,no,NA,61,29.41,100,no,yes,no,NA,midwest,S,English,male,46,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,boy,yes,yes,78.57,89,94.12,64.29,yes,yes,yes,yes,south,S,English,female,54,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,men,women,no difference,men,NA,NA,NA,men,women,NA,men
four year college,college,white,US citizen,US born,either,NA,NA,NA,78,52.94,42.86,yes,NA,yes,NA,west,R,English,male,38,Democrat,Republican,NA,yes both,NA,men,no difference,no difference,men,no difference,men,men,men,NA,NA,men,NA,men,men
two year college,less than college,NA,US citizen,US born,either,yes,yes,57.14,83,52.94,85.71,yes,yes,yes,no,west,S,English,male,54,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
two year college,less than college,white,US citizen,US born,girl,yes,yes,NA,78,35.29,78.57,yes,yes,no,NA,south,S,English,female,43,Republica,Republican,NA,yes I am,low,no difference,women,no difference,women,women,no difference,no difference,NA,women,NA,women,women,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,42.86,78,41.18,28.57,yes,no,no,no,west,R,English,male,49,Republica,Republican,NA,yes I am,high,women,women,men,men,no difference,men,men,women,women,men,men,NA,men,men
HS or less,less than college,white,US citizen,US born,boy,NA,NA,NA,83,47.06,64.29,yes,yes,no,NA,North East,U,English,female,21,NA,Democrat,NA,my spouse is,NA,no difference,no difference,no difference,men,women,no difference,men,NA,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,64.29,NA,NA,28.57,NA,no,NA,NA,south,R,English,female,74,Republica,Republican,NA,my spouse is,high,no difference,no difference,men,men,men,men,men,NA,NA,men,men,men,men,men
HS or less,less than college,NA,Not US citizen,Not US born,boy,yes,yes,35.71,44,NA,57.14,no,yes,NA,no,west,U,Spanish,male,35,NA,Republican,NA,yes both,high,women,women,women,men,women,no difference,no difference,women,women,women,men,women,NA,NA
four year college,college,white,US citizen,US born,girl,yes,yes,NA,83,35.29,50,yes,yes,no,NA,North East,S,English,female,41,Republica,Do not know,very conservative,my spouse is,high,no difference,women,no difference,men,women,women,men,NA,women,NA,men,women,women,men
HS or less,less than college,white,US citizen,US born,girl,yes,yes,NA,56,41.18,85.71,no,yes,no,NA,midwest,R,English,male,51,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
four year college,college,white,US citizen,US born,either,yes,no,42.86,78,47.06,64.29,yes,yes,no,no,south,S,English,female,42,Republica,Republican,NA,yes both,high,men,women,no difference,men,no difference,no difference,no difference,men,women,NA,men,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,NA,11.76,NA,NA,NA,no,NA,North East,S,English,female,82,Republica,Republican,NA,my spouse is,NA,men,no difference,no difference,no difference,no difference,NA,NA,men,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,no,35.71,NA,47.06,64.29,NA,yes,no,no,midwest,S,English,female,61,Republica,Republican,NA,my spouse is,low,women,women,women,no difference,no difference,no difference,men,women,women,women,NA,NA,NA,men
four year college,college,white,US citizen,US born,boy,yes,no,NA,94,23.53,85.71,yes,yes,no,NA,south,S,English,male,44,Republica,Republican,NA,my spouse is,low,women,no difference,women,no difference,no difference,no difference,no difference,women,NA,women,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,yes,NA,83,23.53,78.57,yes,yes,no,NA,North East,R,English,female,51,Republica,Republican,NA,yes I am,low,no difference,no difference,women,men,no difference,no difference,no difference,NA,NA,women,men,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North East,U,English,female,72,Republica,Republican,NA,yes both,NA,NA,NA,women,men,women,women,no difference,NA,NA,women,men,women,women,NA
four year college,college,white,US citizen,US born,girl,no,yes,NA,83,58.82,42.86,yes,NA,yes,NA,midwest,R,English,male,63,Democrat,Republican,NA,yes both,high,no difference,women,women,men,women,women,men,NA,women,women,men,women,women,men
four year college,college,white,US citizen,US born,girl,yes,yes,NA,NA,NA,7.14,NA,no,NA,NA,south,S,English,female,70,Republica,Republican,NA,yes both,high,men,men,men,men,men,women,men,men,men,men,men,men,women,men
two year college,less than college,white,US citizen,US born,either,no,yes,NA,72,23.53,57.14,NA,yes,no,NA,south,U,English,female,37,Republica,Republican,NA,my spouse is,high,women,women,men,no difference,no difference,no difference,men,women,women,men,NA,NA,NA,men
graduate,college,white,US citizen,US born,NA,NA,NA,NA,NA,29.41,85.71,NA,yes,no,NA,west,U,English,male,82,Republica,Republican,NA,yes I am,high,no difference,no difference,no difference,women,women,no difference,no difference,NA,NA,NA,women,women,NA,NA
four year college,college,white,US citizen,US born,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,no,west,U,English,male,68,Republica,Republican,NA,my spouse is,high,women,NA,women,men,men,men,men,women,NA,women,men,men,men,men
four year college,college,white,US citizen,US born,boy,yes,no,NA,NA,58.82,NA,NA,NA,yes,NA,west,S,English,female,73,Republica,Republican,NA,my spouse is,high,women,NA,women,NA,no difference,no difference,men,women,NA,women,NA,NA,NA,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,64.71,92.86,NA,yes,yes,NA,south,U,English,male,79,Republica,Republican,NA,yes I am,high,no difference,women,no difference,no difference,no difference,no difference,no difference,NA,women,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,girl,no,yes,100,NA,35.29,71.43,NA,yes,no,yes,midwest,S,English,male,39,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,men,no difference,no difference,men,NA,NA,NA,men,NA,NA,men
two year college,less than college,white,US citizen,US born,girl,yes,yes,NA,NA,11.76,21.43,NA,no,no,NA,west,S,English,female,67,Republica,Republican,NA,my spouse is,high,men,women,women,men,women,men,men,men,women,women,men,women,men,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,72,52.94,64.29,NA,yes,yes,NA,midwest,R,English,male,44,Republica,Republican,NA,yes I am,high,no difference,no difference,no difference,no difference,women,men,men,NA,NA,NA,NA,women,men,men
HS or less,less than college,white,US citizen,US born,girl,yes,yes,NA,NA,52.94,100,NA,yes,yes,NA,south,R,English,male,80,Republica,Do not know,very conservative,NA,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,21.43,NA,58.82,78.57,NA,yes,yes,no,south,R,English,female,70,Republica,Do not know,conservative,yes both,high,women,no difference,no difference,no difference,no difference,no difference,men,women,NA,NA,NA,NA,NA,men
two year college,less than college,white,US citizen,US born,either,no,yes,NA,94,35.29,57.14,yes,yes,no,NA,west,U,English,male,54,Republica,Republican,NA,my spouse is,high,women,no difference,no difference,men,women,no difference,men,women,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,either,no,yes,35.71,78,11.76,100,yes,yes,no,no,south,S,English,male,45,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,NA,NA,35.71,89,23.53,7.14,yes,no,no,no,south,U,English,female,20,Republica,Republican,NA,my spouse is,high,men,men,men,men,women,men,men,men,men,men,men,women,men,men
four year college,college,white,US citizen,US born,boy,NA,NA,NA,78,41.18,14.29,yes,no,no,NA,midwest,U,English,male,55,Republica,Republican,NA,my spouse is,low,women,men,men,men,women,men,men,women,men,men,men,women,men,men
HS or less,less than college,white,US citizen,US born,either,no,yes,100,NA,NA,100,NA,yes,NA,yes,south,R,English,male,83,Republica,NA,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,yes,NA,78,23.53,100,yes,yes,no,NA,south,U,English,female,42,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,NA,US citizen,US born,either,yes,yes,NA,94,NA,85.71,yes,yes,NA,NA,south,U,English,male,64,Republica,Do not know,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,67,NA,57.14,no,yes,NA,NA,North East,U,English,female,42,Republica,Republican,NA,my spouse is,NA,no difference,women,women,men,no difference,no difference,men,NA,women,women,men,NA,NA,men
two year college,less than college,white,US citizen,US born,boy,NA,NA,50,56,35.29,14.29,no,no,no,no,south,S,English,male,23,Republica,Republican,NA,my spouse is,NA,men,men,women,men,women,men,men,men,men,women,men,women,men,men
HS or less,less than college,white,US citizen,US born,either,yes,no,NA,33,64.71,7.14,no,no,yes,NA,midwest,S,English,female,43,NA,Republican,NA,yes I am,NA,men,men,men,men,women,men,men,men,men,men,men,women,men,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,61,NA,28.57,no,no,NA,NA,south,R,English,male,47,Republica,Republican,NA,yes I am,NA,men,no difference,no difference,men,men,men,men,men,NA,NA,men,men,men,men
