edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,72,41.18,78.57,NA,yes,no,NA,south,R,English,female,44,Republica,Republican,NA,no,high,no difference,no difference,no difference,men,no difference,women,no difference,NA,NA,NA,men,NA,women,NA
four year college,college,black,US citizen,US born,either,yes,yes,64.29,NA,52.94,85.71,NA,yes,yes,NA,midwest,S,English,female,60,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
two year college,less than college,Others,US citizen,US born,girl,NA,NA,NA,72,52.94,NA,NA,NA,yes,NA,midwest,S,English,female,28,NA,Do not know,NA,no,NA,women,NA,women,NA,women,NA,NA,women,NA,women,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,NA,yes,yes,21.43,NA,NA,NA,NA,NA,NA,no,midwest,S,English,female,89,Republica,NA,very conservative,my spouse is,NA,NA,no difference,no difference,NA,women,women,no difference,NA,NA,NA,NA,women,women,NA
graduate,college,white,US citizen,US born,girl,no,yes,NA,94,58.82,28.57,yes,no,yes,NA,south,S,English,female,62,Republica,Republican,NA,my spouse is,high,women,women,women,men,women,men,men,women,women,women,men,women,men,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,NA,64.71,NA,NA,NA,yes,NA,south,U,English,male,30,NA,Do not know,NA,my spouse is,high,no difference,no difference,no difference,no difference,women,NA,men,NA,NA,NA,NA,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,50,NA,29.41,42.86,NA,NA,no,no,midwest,S,English,female,67,Republica,Democrat,NA,yes both,high,no difference,no difference,no difference,men,men,men,men,NA,NA,NA,men,men,men,men
two year college,less than college,black,US citizen,US born,either,NA,NA,NA,56,NA,100,no,yes,NA,NA,North East,U,English,male,30,Republica,Democrat,NA,yes both,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,21.43,33,47.06,28.57,no,no,no,no,south,S,English,male,25,Republica,Do not know,very conservative,yes both,high,men,men,women,men,women,no difference,men,men,men,women,men,women,NA,men
two year college,less than college,white,US citizen,US born,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,S,English,female,71,Republica,Do not know,conservative,yes both,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,yes,no,42.86,83,35.29,78.57,yes,yes,no,no,south,R,English,female,63,Republica,Democrat,NA,no,high,no difference,women,no difference,no difference,no difference,no difference,men,NA,women,NA,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,girl,no,yes,28.57,78,29.41,28.57,yes,no,no,no,south,U,English,female,82,NA,NA,very conservative,NA,NA,women,men,women,men,women,women,men,women,men,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,50,47.06,21.43,no,no,no,NA,south,S,English,male,50,NA,Republican,NA,yes both,NA,women,women,men,men,women,men,men,women,women,men,men,women,men,men
HS or less,less than college,NA,US citizen,US born,boy,yes,yes,57.14,56,41.18,7.14,no,no,no,no,south,U,English,male,59,Republica,Democrat,NA,yes both,NA,men,men,women,men,men,men,men,men,men,women,men,men,men,men
four year college,college,white,US citizen,US born,girl,yes,yes,57.14,NA,NA,NA,NA,NA,NA,no,west,S,English,female,84,Republica,Do not know,very conservative,my spouse is,high,no difference,no difference,men,men,NA,no difference,men,NA,NA,men,men,NA,NA,men
graduate,college,white,US citizen,US born,either,yes,yes,100,56,41.18,85.71,no,yes,no,yes,west,S,English,female,50,Republica,Democrat,NA,no,high,no difference,no difference,no difference,no difference,women,women,no difference,NA,NA,NA,NA,women,women,NA
HS or less,less than college,Others,US citizen,US born,boy,NA,NA,14.29,NA,47.06,7.14,NA,no,no,no,west,S,English,male,85,NA,Democrat,NA,NA,NA,men,men,men,men,women,men,men,men,men,men,men,women,men,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,61,64.71,100,no,yes,yes,NA,midwest,U,English,female,49,Republica,Republican,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,NA,NA,67.86,NA,82.35,50,NA,yes,yes,yes,North East,R,English,female,70,Republica,Democrat,NA,no,NA,no difference,no difference,women,men,women,women,men,NA,NA,women,men,women,women,men
four year college,college,white,US citizen,US born,NA,yes,no,42.86,NA,52.94,NA,NA,NA,yes,no,midwest,S,English,female,75,NA,Republican,NA,my spouse is,high,men,no difference,NA,men,men,men,men,men,NA,NA,men,men,men,men
HS or less,less than college,white,US citizen,US born,NA,yes,yes,71.43,NA,82.35,NA,NA,NA,yes,yes,midwest,R,English,female,70,Republica,Do not know,NA,yes both,NA,women,NA,no difference,men,women,NA,men,women,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,south,R,English,female,46,Republica,Republican,NA,my spouse is,NA,women,NA,women,NA,women,men,men,women,NA,women,NA,women,men,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,76.47,64.29,NA,yes,yes,NA,west,U,English,male,73,Republica,Do not know,conservative,my spouse is,NA,no difference,no difference,no difference,men,women,no difference,men,NA,NA,NA,men,women,NA,men
two year college,less than college,white,US citizen,US born,boy,no,yes,NA,NA,52.94,100,NA,yes,yes,NA,North East,U,English,male,81,Republica,Do not know,NA,my spouse is,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,NA,NA,57.14,83,52.94,NA,yes,NA,yes,no,south,S,English,male,32,Republica,Do not know,NA,my spouse is,high,NA,NA,women,men,women,men,men,NA,NA,women,men,women,men,men
graduate,college,white,US citizen,US born,either,NA,NA,100,94,58.82,100,yes,yes,yes,yes,midwest,S,English,male,41,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,black,US citizen,US born,either,yes,yes,64.29,NA,NA,NA,NA,NA,NA,NA,midwest,S,English,male,78,NA,Do not know,conservative,no,high,NA,women,no difference,no difference,women,no difference,NA,NA,women,NA,NA,women,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,no,21.43,61,23.53,21.43,no,no,no,no,North East,S,English,male,50,Republica,Do not know,very conservative,my spouse is,high,women,women,women,men,men,men,men,women,women,women,men,men,men,men
two year college,less than college,white,US citizen,US born,boy,yes,no,NA,NA,41.18,78.57,NA,yes,no,NA,south,S,English,female,64,Republica,Democrat,NA,yes both,NA,women,no difference,women,no difference,no difference,no difference,women,women,NA,women,NA,NA,NA,women
HS or less,less than college,black,US citizen,US born,boy,yes,yes,NA,NA,47.06,35.71,NA,no,no,NA,west,U,English,female,24,NA,Democrat,NA,NA,NA,women,women,women,men,women,women,men,women,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,girl,no,yes,57.14,NA,47.06,57.14,NA,yes,no,no,south,U,English,female,47,Republica,Democrat,NA,NA,NA,no difference,women,women,women,women,women,women,NA,women,women,women,women,women,women
two year college,less than college,white,US citizen,US born,either,yes,yes,32.14,NA,64.71,21.43,NA,no,yes,no,midwest,R,English,female,69,Republica,Republican,NA,yes I am,high,men,no difference,women,men,men,men,men,men,NA,women,men,men,men,men
HS or less,less than college,black,US citizen,US born,girl,yes,yes,NA,NA,47.06,100,NA,yes,no,NA,south,U,English,male,68,Republica,Democrat,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,NA,US citizen,Not US born,either,yes,no,64.29,NA,76.47,7.14,NA,no,yes,NA,North East,S,English,female,29,NA,Democrat,NA,no,high,men,men,men,men,men,women,men,men,men,men,men,men,women,men
HS or less,less than college,NA,US citizen,US born,girl,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,S,English,female,71,Republica,Democrat,NA,yes both,NA,men,men,NA,men,men,men,men,men,men,NA,men,men,men,men
HS or less,less than college,black,US citizen,US born,either,yes,no,NA,NA,NA,42.86,NA,NA,NA,NA,south,R,English,female,22,Republica,Do not know,very conservative,NA,high,men,no difference,women,women,women,women,men,men,NA,women,women,women,women,men
two year college,less than college,white,US citizen,US born,either,yes,no,21.43,72,41.18,50,NA,yes,no,no,midwest,R,English,female,53,Republica,Do not know,conservative,no,NA,no difference,no difference,women,men,women,women,men,NA,NA,women,men,women,women,men
two year college,less than college,black,US citizen,US born,boy,yes,yes,NA,NA,70.59,42.86,NA,NA,yes,NA,south,U,English,female,69,Republica,Democrat,NA,no,NA,men,men,no difference,men,no difference,men,no difference,men,men,NA,men,NA,men,NA
HS or less,less than college,black,US citizen,US born,girl,no,yes,NA,72,NA,42.86,NA,NA,NA,NA,south,S,English,female,23,NA,Do not know,NA,yes both,NA,women,men,men,no difference,no difference,women,men,women,men,men,NA,NA,women,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,35.71,67,35.29,57.14,no,yes,no,no,North East,S,English,male,24,Republica,Democrat,NA,no,high,women,no difference,women,no difference,men,women,women,women,NA,women,NA,men,women,women
four year college,college,white,US citizen,US born,boy,yes,yes,21.43,83,58.82,100,yes,yes,yes,no,south,R,English,female,50,Republica,Democrat,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,NA,US citizen,Not US born,either,yes,yes,50,NA,47.06,85.71,NA,yes,no,no,south,S,English,female,32,Republica,NA,very conservative,yes both,high,no difference,no difference,no difference,men,no difference,no difference,no difference,NA,NA,NA,men,NA,NA,NA
four year college,college,NA,Not US citizen,Not US born,either,yes,yes,28.57,NA,82.35,21.43,NA,no,yes,no,North East,U,English,female,79,NA,NA,conservative,yes both,NA,men,men,women,men,women,women,men,men,men,women,men,women,women,men
HS or less,less than college,black,US citizen,US born,girl,yes,yes,21.43,NA,35.29,21.43,NA,no,no,no,south,S,English,male,37,Republica,Democrat,NA,yes I am,high,men,women,women,men,women,men,men,men,women,women,men,women,men,men
